area,quartos,banheiros,garagem,preco
182,4,4,3,970537
262,5,4,4,1373954
227,4,4,4,1200938
276,4,3,3,1330883
255,4,4,4,1277826
144,4,4,4,858767
229,4,4,4,1171084
126,1,1,0,583806
120,3,2,3,651294
60,2,2,1,382383
123,2,1,1,612605
58,1,1,1,290165
259,5,4,4,1331621
234,4,4,4,1222852
215,3,2,3,1042909
215,5,4,4,1162664
294,5,4,4,1504147
115,3,3,2,649785
76,1,1,0,334115
136,2,2,2,704443
117,3,2,2,647334
139,3,2,3,734344
217,3,3,2,1070409
64,2,2,1,387071
79,1,1,0,347334
73,1,1,1,354872
61,2,2,2,400792
128,1,1,0,598317
82,1,1,0,395946
82,1,1,0,364771
46,1,1,0,237682
88,2,1,2,440360
73,1,1,0,362353
282,6,5,4,1484155
72,1,1,1,362577
272,5,4,4,1395629
144,3,2,2,720987
130,3,2,3,688953
257,6,5,4,1358401
183,4,4,3,1010954
258,4,4,4,1314433
124,2,2,1,615510
281,5,5,4,1470739
173,4,4,4,929523
271,4,4,4,1361045
290,6,5,4,1516441
89,2,2,1,480566
201,4,4,3,1083338
114,2,2,1,596163
238,4,3,4,1185359
45,1,1,1,221884
262,4,4,4,1350151
248,4,3,3,1255818
250,6,5,4,1377012
233,3,2,3,1142783
142,2,1,2,673151
229,4,4,4,1169252
249,4,3,3,1255222
178,2,2,1,864635
105,3,2,3,598843
97,2,1,1,491827
284,4,3,4,1430998
191,2,2,1,887941
262,5,5,4,1375088
122,2,2,1,627288
72,1,1,0,317692
45,1,1,0,255427
99,3,3,2,592412
135,1,1,0,589738
223,4,4,3,1168562
162,3,2,2,792183
133,3,3,3,720231
280,5,4,4,1424056
276,5,5,4,1426911
122,3,3,2,645080
189,2,2,2,887205
223,4,4,4,1141178
232,3,2,2,1115453
162,4,4,4,930998
274,6,5,4,1471074
47,1,1,1,275654
90,3,3,2,559424
230,4,4,3,1171024
184,2,1,1,879505
217,5,4,4,1186534
68,1,1,1,331001
214,3,3,2,1039770
177,3,2,3,878926
270,4,3,3,1308932
74,1,1,1,365693
262,5,4,4,1332405
169,3,3,2,871573
152,2,2,1,752053
185,2,1,1,839686
259,5,4,4,1355183
298,5,4,4,1534407
214,4,3,4,1134683
97,2,1,2,506233
175,3,3,3,904335
47,1,1,0,240262
98,3,3,3,607661
137,1,1,1,608546
279,5,5,4,1451883
69,1,1,0,343530
137,3,3,3,760010
277,6,5,4,1452614
187,3,3,3,979108
195,3,2,3,945279
104,2,1,2,563161
46,1,1,0,251772
277,5,4,4,1406860
237,4,3,3,1174439
187,3,3,3,968986
169,4,4,4,919587
80,1,1,1,372919
112,2,1,2,540249
259,5,5,4,1389579
206,4,3,4,1051501
112,2,2,2,572212
172,2,1,2,834649
135,3,2,3,734663
127,2,2,2,676560
225,5,4,4,1224415
98,2,1,1,500225
52,2,1,2,321762
69,2,2,1,381702
197,4,4,4,1054087
163,3,3,3,875042
196,3,2,2,975387
135,2,1,1,631229
240,5,4,4,1289668
184,4,4,3,994983
125,2,2,1,617517
123,1,1,0,573499
157,3,3,2,840348
130,2,1,1,612630
266,6,5,4,1395508
271,6,5,4,1436215
218,4,4,3,1137280
281,6,5,4,1460000
48,2,2,1,327071
182,4,3,3,960053
138,3,2,3,747394
222,4,4,3,1141821
262,5,4,4,1383680
276,6,5,4,1445891
214,4,4,4,1147049
285,5,4,4,1474852
281,5,4,4,1443294
221,5,4,4,1201677
128,2,1,1,612296
220,4,4,4,1160157
159,4,4,3,874013
98,1,1,1,476163
80,1,1,1,390196
280,5,5,4,1445911
50,1,1,1,286898
265,6,5,4,1395282
136,1,1,1,634875
214,4,4,4,1102701
50,2,1,1,307393
179,3,3,2,908439
185,2,2,2,864574
210,4,3,3,1059439
69,1,1,0,348269
105,2,2,1,568829
237,4,3,3,1187721
262,4,4,3,1289902
53,1,1,0,249146
279,5,4,4,1425256
279,4,3,4,1387978
129,3,2,3,692767
232,5,5,4,1265067
196,4,4,4,1062447
220,4,4,3,1169394
220,4,3,4,1116782
87,3,2,3,525081
231,4,3,3,1180111
221,4,4,3,1163635
232,4,3,4,1217003
128,1,1,1,571909
79,1,1,1,414341
236,5,5,4,1257149
121,1,1,0,572940
114,3,3,3,653158
148,2,1,2,693314
141,3,2,2,750614
91,2,2,2,468829
133,2,2,1,648576
56,1,1,0,300446
90,1,1,0,414172
289,5,4,4,1459301
289,5,4,4,1493260
166,3,3,3,867849
49,1,1,0,232165
199,4,4,4,1068797
80,1,1,1,409344
135,3,3,3,716713
140,4,3,4,825699
110,1,1,0,476698
129,1,1,0,569466
65,1,1,1,337731
62,1,1,0,311305
239,5,5,4,1259140
141,2,1,1,678828
123,1,1,0,550632
245,4,3,4,1222935
164,4,4,4,894328
198,3,3,2,961343
156,2,1,2,742242
63,1,1,0,293274
150,3,2,2,758854
179,3,3,2,913115
84,2,2,2,461406
74,2,2,2,446026
123,2,2,1,602417
83,3,2,2,485445
58,1,1,0,262683
73,1,1,0,331918
239,4,3,4,1213944
281,4,3,4,1403115
188,4,4,4,1036585
170,3,2,2,870221
281,4,3,4,1371284
207,3,2,3,1052196
78,1,1,1,368569
172,3,2,3,862522
60,2,2,2,357212
191,3,2,2,943878
216,3,3,2,1045515
211,4,4,4,1136873
185,3,3,2,919865
103,3,2,2,563969
129,2,2,2,663363
150,4,3,4,871542
143,3,2,2,713732
177,3,3,3,916168
231,4,4,4,1231089
185,4,4,4,985439
246,4,4,3,1228737
64,2,1,1,351774
215,4,3,4,1118508
249,4,3,4,1253284
199,3,2,2,995905
182,3,2,3,919197
136,1,1,0,630274
239,3,2,3,1165124
240,3,2,3,1159343
60,1,1,0,270854
130,3,2,3,694393
218,4,4,4,1177222
177,3,3,2,897288
175,3,3,3,884865
181,2,1,2,885693
184,3,3,3,972348
226,5,5,4,1194781
163,2,1,1,776985
256,5,4,4,1353018
121,2,2,2,653647
181,3,2,3,934942
151,4,3,4,861330
73,1,1,0,371373
144,3,2,2,742433
229,3,2,2,1085184
255,5,4,4,1316028
173,3,2,3,905877
282,4,3,4,1379719
294,5,5,4,1499780
137,2,2,2,701577
243,5,5,4,1274656
88,3,3,3,522147
288,5,4,4,1437385
102,3,2,3,567814
183,3,3,3,958286
208,4,3,4,1101781
105,3,2,2,605956
128,3,3,3,728683
91,1,1,0,424360
51,2,1,1,311966
190,3,3,3,946908
167,2,2,2,824063
189,2,2,1,905793
170,3,3,2,894588
148,3,3,2,794804
286,5,5,4,1483803
108,2,1,1,533768
211,5,5,4,1177794
286,4,3,4,1419124
111,1,1,0,523445
187,2,1,2,901091
106,1,1,0,463185
198,5,5,4,1101623
86,1,1,0,423892
279,5,5,4,1464736
199,5,4,4,1109359
139,3,3,3,746962
298,6,5,4,1552320
106,2,2,1,527510
216,3,2,2,1067415
60,1,1,1,311658
75,2,2,2,448711
54,1,1,1,314474
149,3,3,3,773940
254,5,5,4,1318905
45,1,1,1,217630
55,2,1,1,315943
76,2,2,1,400962
63,2,1,1,335488
183,3,3,3,959952
200,5,5,4,1125349
254,5,4,4,1346126
191,3,3,3,966952
271,5,5,4,1409097
229,4,3,3,1163708
97,3,3,3,582636
224,3,2,2,1071941
215,4,3,3,1084183
268,5,5,4,1374423
155,3,3,3,817630
132,2,2,1,641228
50,1,1,1,288827
65,2,1,2,346671
266,5,4,4,1362010
283,6,5,4,1466606
109,2,1,2,575611
57,1,1,0,278577
253,5,4,4,1321880
267,5,4,4,1356888
121,2,2,1,629880
163,4,3,3,886190
135,2,2,1,644685
63,1,1,1,346637
72,1,1,0,358324
151,3,2,2,793897
273,4,4,3,1346123
164,3,2,2,834755
188,3,3,2,926980
229,5,4,4,1219257
157,4,3,4,892731
103,3,3,3,612012
53,2,2,2,363922
227,4,4,3,1146682
233,5,4,4,1246279
125,3,3,2,675181
150,3,3,2,801447
264,5,4,4,1383367
112,2,1,1,562933
278,6,5,4,1442862
235,3,2,2,1104199
236,5,5,4,1287277
86,1,1,1,389965
247,5,5,4,1324205
63,2,2,1,355107
298,6,5,4,1578670
197,5,4,4,1091068
228,3,2,2,1103185
216,4,4,3,1150332
285,6,5,4,1473760
211,4,4,3,1132676
271,5,4,4,1380132
176,3,3,2,881376
223,4,4,4,1162343
267,5,4,4,1379197
74,2,1,1,367311
121,1,1,0,569454
284,5,5,4,1452312
130,2,2,2,645427
140,3,2,3,747095
276,5,4,4,1414123
245,3,2,2,1142187
50,1,1,1,285185
56,2,1,1,315289
203,4,4,3,1083146
285,5,5,4,1447987
292,6,5,4,1535686
146,4,3,4,816378
232,3,2,3,1123342
296,5,5,4,1516729
198,4,4,3,1063732
164,4,3,4,881370
60,1,1,1,302594
89,2,2,2,508306
275,6,5,4,1454167
185,3,3,3,923844
251,5,4,4,1307091
125,2,1,1,593711
68,2,2,2,424173
129,2,1,2,660559
163,3,3,3,867585
213,4,3,3,1117355
97,2,2,1,532306
165,4,3,3,896151
68,1,1,1,341099
193,5,5,4,1114891
198,3,2,3,983969
177,4,4,4,973600
107,1,1,0,474606
135,1,1,0,629450
166,4,4,4,935326
254,4,3,3,1287431
199,3,3,2,978880
155,3,2,3,823835
250,4,3,3,1252791
205,4,3,3,1040967
218,5,4,4,1149542
60,1,1,1,333126
226,5,4,4,1235917
236,3,3,2,1159373
196,3,2,3,990190
236,3,3,3,1143117
93,2,2,2,481940
266,6,5,4,1387710
50,1,1,0,269342
128,2,1,2,665354
96,3,2,2,552931
157,3,2,2,820365
144,3,3,2,742632
66,1,1,0,344388
154,4,3,4,863307
230,4,4,3,1199946
274,5,4,4,1403976
99,1,1,1,495507
112,1,1,0,508849
234,3,3,3,1158937
92,2,1,1,475731
265,4,3,3,1340931
107,2,1,1,515223
75,1,1,1,381254
298,5,4,4,1530244
122,2,1,2,633876
219,5,4,4,1204568
243,3,3,2,1168487
228,3,3,2,1092436
78,1,1,0,392544
261,4,3,4,1331712
185,2,1,2,861718
253,4,3,4,1306043
97,2,1,1,478302
262,5,5,4,1382495
225,3,3,2,1112707
215,3,3,2,1077371
278,5,5,4,1440924
157,3,2,3,802301
117,2,1,2,568776
53,1,1,1,306921
271,6,5,4,1463772
142,3,3,3,789732
244,3,3,2,1156742
94,3,3,3,547908
250,4,4,4,1296059
237,4,3,3,1215669
243,4,4,4,1228157
106,3,3,2,624579
249,6,5,4,1336014
110,2,2,2,579661
68,1,1,1,338403
125,3,3,3,671936
125,1,1,1,561659
150,2,1,2,707696
185,3,2,3,912920
219,5,4,4,1180944
209,4,4,3,1094462
137,1,1,0,610648
121,1,1,0,542856
146,2,1,1,699953
184,3,3,2,923386
162,3,2,2,801192
109,1,1,0,528680
120,2,2,1,622548
100,2,1,2,544499
60,2,1,2,365525
145,4,4,3,841165
200,3,2,2,958520
263,5,4,4,1345822
296,4,3,3,1414994
241,4,4,3,1225964
221,5,5,4,1217717
215,4,4,4,1123496
222,4,4,3,1169682
198,4,3,4,1069599
121,2,2,2,643211
140,3,3,2,738426
104,1,1,0,486076
57,1,1,0,268899
217,4,3,3,1113874
286,5,4,4,1457126
248,6,5,4,1371570
238,3,2,3,1145210
209,5,4,4,1108444
286,5,4,4,1473027
155,4,4,3,844732
235,4,4,3,1180244
62,2,2,1,348237
179,3,2,2,863797
243,3,3,3,1187896
117,3,3,3,681788
281,5,5,4,1439194
80,2,1,1,433795
230,4,3,3,1193141
186,4,3,4,1020381
284,4,3,3,1410952
68,1,1,0,317899
199,5,5,4,1134128
256,4,3,4,1292737
251,4,3,3,1247209
123,3,3,2,675506
268,5,4,4,1411780
192,2,1,1,867102
127,2,1,1,643478
209,4,3,4,1062703
193,5,4,4,1058060
156,4,4,4,887335
286,6,5,4,1501283
54,1,1,1,281743
225,5,4,4,1216053
275,6,5,4,1481020
124,1,1,0,541724
153,4,3,4,863011
178,4,3,4,948732
155,3,2,2,821395
198,4,4,3,1062001
63,2,2,2,352727
184,3,2,2,895708
148,3,3,2,772885
186,2,1,2,905574
266,5,4,4,1361330
137,1,1,1,652510
165,4,3,4,926620
54,1,1,1,271342
93,1,1,1,456570
224,4,4,4,1153739
82,1,1,0,364242
151,4,3,4,840249
299,5,5,4,1531026
263,6,5,4,1398593
152,3,3,2,781072
203,3,3,3,1035634
82,1,1,0,393295
197,4,4,4,1085431
111,2,1,1,563736
295,6,5,4,1565746
59,1,1,0,266173
159,2,2,2,788251
45,1,1,0,251111
146,4,4,4,855732
125,1,1,0,543703
46,2,1,2,312143
173,4,3,4,965600
90,2,2,1,483754
58,2,2,2,359863
163,4,4,3,873996
246,3,2,2,1194117
144,4,3,4,808824
159,3,2,3,827152
243,5,4,4,1307314
230,5,4,4,1216718
272,5,4,4,1399999
48,1,1,1,249801
94,3,3,2,564782
138,4,3,4,796890
219,5,5,4,1167089
220,5,4,4,1183830
238,5,5,4,1290269
144,4,4,4,864714
299,4,3,4,1452957
121,3,3,3,695313
262,5,5,4,1393592
216,5,5,4,1192768
177,3,3,2,895263
226,4,4,4,1210649
174,3,2,2,858392
57,1,1,1,299850
131,1,1,1,598832
161,3,3,2,820733
270,5,5,4,1429649
291,4,4,3,1444071
155,3,3,3,833033
141,3,2,2,729878
239,4,3,4,1240977
59,2,1,2,329499
73,1,1,1,334685
242,4,3,4,1255347
60,1,1,0,317570
117,3,3,2,677373
276,6,5,4,1487582
194,5,5,4,1102248
263,5,5,4,1398461
64,1,1,0,341007
293,5,5,4,1482904
216,4,3,4,1144819
80,1,1,0,360733
295,6,5,4,1561703
101,2,1,2,511797
179,4,4,4,967050
145,3,2,3,740714
179,3,2,3,907106
235,4,4,3,1230034
219,3,3,2,1075662
61,1,1,0,316792
251,6,5,4,1373759
285,4,4,3,1425714
106,2,1,1,556071
249,4,3,3,1223147
141,4,4,4,818049
197,3,2,2,971051
255,6,5,4,1386444
50,2,1,1,304154
252,5,4,4,1339052
263,5,4,4,1333947
277,5,5,4,1443193
182,3,2,2,892066
224,5,4,4,1224558
213,4,3,4,1136117
179,3,3,2,914490
74,1,1,0,380611
276,5,5,4,1420302
87,3,3,3,558297
181,3,3,2,925298
206,4,3,3,1046402
62,2,2,2,346732
220,4,4,3,1119139
230,4,3,3,1193912
111,3,3,2,609548
55,1,1,1,314685
249,5,5,4,1306844
60,2,1,2,338034
75,1,1,0,338705
58,1,1,1,285690
92,2,1,1,458550
110,2,1,1,560860
64,2,1,1,341523
108,1,1,0,526207
222,4,4,4,1148655
228,5,5,4,1260597
149,3,3,3,811617
212,4,3,4,1130631
88,2,2,1,496932
141,3,3,3,792033
112,2,1,2,550502
230,4,4,4,1218725
85,2,2,1,443969
72,1,1,1,385775
200,4,4,4,1048770
218,3,3,3,1097951
103,2,1,1,528487
175,3,3,3,881691
166,3,2,3,878949
256,5,5,4,1359609
152,3,3,2,823682
76,1,1,1,375946
213,4,4,4,1137729
299,6,5,4,1563445
137,2,2,1,654670
156,4,3,4,887477
172,4,4,3,910515
297,4,4,4,1507904
231,4,4,4,1202467
180,2,2,2,850688
146,3,3,3,764894
123,2,2,1,610112
60,1,1,1,309278
179,2,2,2,845921
124,2,2,1,636334
292,6,5,4,1549174
77,1,1,0,381844
148,3,2,3,807001
70,1,1,1,345890
217,4,4,4,1136707
217,4,4,3,1106462
262,5,4,4,1379457
292,6,5,4,1533132
227,3,3,2,1084364
258,4,4,3,1275807
287,4,4,4,1451996
286,5,4,4,1469208
278,5,4,4,1431037
241,3,2,2,1166993
260,4,4,3,1284766
62,1,1,0,312539
85,1,1,1,440130
149,3,2,2,763400
190,2,1,1,895955
166,3,3,2,858953
66,1,1,0,325808
274,5,4,4,1412416
197,4,4,3,1063728
256,6,5,4,1361483
184,3,2,2,903393
92,2,2,1,506083
252,6,5,4,1346625
121,3,3,3,707789
60,1,1,0,315233
130,3,3,3,705703
271,5,4,4,1394273
199,4,3,4,1045239
273,4,4,4,1373767
156,3,2,2,819308
212,4,4,4,1112778
118,2,2,1,576600
238,3,3,3,1193779
243,5,5,4,1324410
107,2,1,1,518324
114,2,2,2,573802
140,2,1,2,669617
162,4,4,3,892749
77,1,1,1,371113
212,5,4,4,1134799
213,4,4,4,1140887
275,6,5,4,1457926
242,3,2,3,1164506
79,1,1,1,402507
262,5,5,4,1359479
257,5,4,4,1308786
233,5,4,4,1234068
226,4,4,4,1162837
66,1,1,0,295952
265,6,5,4,1429881
96,2,1,1,472555
211,3,2,3,1056153
56,1,1,1,304313
96,2,1,2,528814
208,3,2,3,1011890
140,3,3,3,758919
149,3,3,2,805879
187,3,2,2,932311
94,1,1,0,456557
84,3,2,2,487630
122,2,1,2,603309
280,5,5,4,1461510
55,1,1,1,260241
137,2,2,1,653809
193,4,4,3,1000532
204,3,3,3,1048744
232,3,2,2,1113456
84,1,1,0,372926
250,6,5,4,1372663
147,4,3,4,830695
167,3,2,3,843510
87,2,2,2,467712
89,2,2,2,486750
224,5,4,4,1182326
148,4,3,4,828917
218,3,3,2,1061019
277,5,5,4,1418216
260,6,5,4,1406200
168,4,4,3,902035
277,5,4,4,1390904
227,5,5,4,1226335
46,1,1,0,256833
81,1,1,0,408865
241,5,4,4,1254989
231,4,3,3,1140294
234,4,4,4,1190167
259,5,5,4,1391545
271,5,4,4,1421605
100,2,1,1,490787
135,3,3,3,760143
216,4,3,3,1085550
62,1,1,0,294567
201,3,3,2,976470
158,3,3,3,858370
231,4,3,4,1167509
166,2,2,2,829643
233,4,3,4,1208511
72,1,1,0,341982
179,3,3,3,897963
120,1,1,0,571293
183,4,3,3,991268
139,3,2,2,751331
153,4,3,4,868670
236,5,4,4,1243011
272,5,4,4,1409003
93,3,2,2,503600
80,1,1,1,422489
87,3,2,2,523420
82,2,1,2,431243
300,4,4,4,1464828
242,4,4,4,1272666
121,2,1,2,606810
55,2,2,2,317439
178,4,3,3,947334
209,5,4,4,1134302
101,2,2,1,545013
110,3,2,2,609773
268,4,3,3,1334338
157,4,3,3,867037
187,2,1,2,856608
70,1,1,1,367239
252,5,4,4,1340712
281,6,5,4,1501638
70,1,1,1,330790
242,4,3,3,1222307
216,5,5,4,1180643
59,2,2,1,360463
207,4,4,3,1095252
130,2,1,2,670709
106,2,2,2,546939
280,5,4,4,1405941
69,2,2,1,388614
284,5,5,4,1450195
230,3,2,2,1109116
299,5,5,4,1533510
275,5,5,4,1442900
202,4,3,4,1057738
285,4,3,4,1390476
63,1,1,0,323280
239,4,4,3,1200545
240,5,4,4,1272263
260,5,4,4,1334661
64,1,1,0,331912
289,5,4,4,1482834
246,4,4,4,1250413
165,3,3,2,849756
132,1,1,1,633226
296,5,5,4,1495653
140,3,3,2,736030
233,3,3,2,1144993
129,2,1,1,600220
270,6,5,4,1463353
49,1,1,1,258279
73,1,1,1,379998
298,6,5,4,1541303
149,2,1,2,707672
199,4,3,4,1036029
84,1,1,1,403850
61,1,1,0,272487
184,2,1,2,879566
236,5,5,4,1248419
176,3,2,2,876869
238,5,4,4,1247867
53,2,2,1,344325
184,3,2,2,935301
79,1,1,0,401036
294,6,5,4,1527659
187,3,2,2,903399
81,2,1,1,403398
170,3,3,3,871771
202,3,2,2,980695
300,4,3,4,1474019
234,5,4,4,1266858
255,5,4,4,1310279
199,4,4,4,1065077
128,1,1,0,605029
163,3,3,3,869427
131,2,1,2,618459
295,4,4,3,1469673
196,4,4,4,1050301
76,1,1,1,392103
70,1,1,0,359173
172,2,1,2,828285
228,3,3,2,1108705
113,1,1,0,536110
135,1,1,0,599075
99,3,3,3,564215
241,3,3,3,1172786
88,2,2,1,453166
156,3,3,3,822770
51,1,1,0,248744
265,5,4,4,1382388
95,2,2,1,507081
75,1,1,1,381839
136,2,1,1,666347
97,2,1,2,508415
102,2,1,2,496848
88,2,2,2,514666
142,2,2,1,694413
209,4,3,3,1101119
128,1,1,1,585389
66,1,1,1,351195
202,5,5,4,1117254
197,3,2,3,965630
108,2,2,2,597724
212,3,3,3,1052298
108,2,1,1,553741
103,1,1,0,458096
76,1,1,0,338907
228,5,4,4,1203593
138,3,2,2,700269
173,4,3,4,941835
86,2,1,1,423338
205,4,4,3,1063842
262,6,5,4,1401469
242,3,3,2,1185971
146,4,4,4,874834
285,5,4,4,1455902
113,1,1,1,545217
218,4,4,3,1103941
168,3,2,3,887598
82,1,1,0,375989
281,5,5,4,1437183
266,5,5,4,1390830
151,3,3,3,827512
164,3,2,2,836208
97,2,1,2,517874
143,3,3,3,778414
55,2,1,2,310838
163,3,3,2,818782
233,4,3,3,1195144
263,5,4,4,1352489
172,3,3,2,874087
48,2,1,2,301023
236,3,3,3,1178363
249,5,5,4,1315565
258,6,5,4,1369176
50,1,1,0,263035
176,3,3,3,932237
132,2,2,2,662462
96,2,1,1,504860
212,3,3,3,1040708
256,5,5,4,1369198
95,1,1,1,447225
220,3,2,3,1065032
250,5,4,4,1325101
60,1,1,1,295555
299,5,4,4,1499892
113,3,3,3,675509
65,1,1,0,327504
102,2,1,2,500537
162,3,3,3,873009
208,4,3,3,1101789
127,3,3,3,693401
299,5,4,4,1502841
150,3,2,2,776064
251,5,4,4,1334704
266,5,5,4,1363953
165,2,1,1,792201
258,5,5,4,1373001
64,1,1,0,314620
123,2,1,2,586155
89,3,2,2,518734
179,4,3,4,977376
285,6,5,4,1516773
77,1,1,0,350137
110,1,1,0,517220
204,5,5,4,1149263
149,3,3,2,761646
67,2,2,1,409468
68,1,1,1,313727
78,1,1,0,353659
107,2,2,2,557286
278,5,4,4,1441835
286,5,4,4,1467311
227,5,5,4,1241452
88,3,3,2,545181
299,6,5,4,1557003
269,5,4,4,1389574
290,6,5,4,1539762
154,2,1,2,756954
127,1,1,1,576134
64,1,1,0,320264
174,3,3,3,908210
88,3,2,3,503036
60,2,2,2,385704
65,1,1,1,358433
293,5,5,4,1535052
99,2,1,2,531005
116,1,1,1,569413
201,4,3,3,1042563
86,2,2,1,459107
161,3,3,3,820752
116,1,1,0,550513
226,4,4,4,1163383
73,1,1,1,381719
217,4,4,4,1131908
63,2,2,2,381269
129,2,1,1,643314
64,2,1,1,339968
56,1,1,0,256378
133,2,2,1,674694
272,5,5,4,1445891
188,2,1,2,893772
263,6,5,4,1408797
259,5,5,4,1361203
109,2,2,2,547685
177,4,4,3,937935
53,1,1,1,301625
52,1,1,0,252784
282,4,4,4,1401088
59,2,1,1,320982
237,5,5,4,1279768
75,1,1,1,395303
161,2,2,2,803115
118,2,2,1,585187
284,4,4,3,1386699
143,2,1,2,718918
192,3,2,2,922887
180,3,3,3,906350
108,2,2,2,578572
86,3,2,2,488304
183,3,3,3,925563
124,2,2,2,626199
59,1,1,1,284848
206,3,2,2,984291
82,1,1,0,399145
79,1,1,0,346619
239,3,3,2,1149042
250,5,4,4,1300624
110,2,1,2,547352
128,3,3,2,715638
232,4,4,3,1182106
262,4,3,4,1291521
205,4,4,3,1075072
88,2,2,2,469339
269,5,4,4,1391531
110,2,1,1,532675
204,3,2,2,976553
144,3,3,2,787898
223,3,2,3,1120002
132,1,1,0,620213
298,5,4,4,1525528
90,3,2,3,520990
195,4,4,3,1024382
287,6,5,4,1491987
191,3,3,3,998256
170,2,2,2,818501
72,1,1,0,340731
114,3,3,3,631051
279,5,5,4,1449360
281,5,5,4,1468009
239,3,2,2,1122748
56,1,1,1,273499
229,4,4,3,1188321
267,4,3,4,1309361
158,3,3,3,809636
270,5,5,4,1402630
98,3,3,2,548751
246,3,2,2,1168561
75,1,1,0,372170
177,3,2,3,905891
228,4,3,4,1147551
300,5,5,4,1527028
201,4,4,4,1094240
104,2,2,1,555356
100,3,3,2,577799
99,2,1,1,513546
188,2,1,1,881902
151,4,3,4,843592
97,3,3,3,597962
60,1,1,1,327736
244,4,4,3,1217093
128,3,2,2,656645
53,1,1,0,281956
112,2,1,2,589186
194,4,4,3,1053779
114,3,3,3,654356
184,3,2,2,904663
180,3,2,3,894682
113,3,2,3,651045
140,2,2,1,661691
51,1,1,0,259294
270,5,4,4,1373694
173,4,4,4,942793
299,4,4,4,1489021
172,2,1,2,802295
47,1,1,1,239947
60,1,1,1,320809
152,3,3,3,838105
161,2,1,2,756833
185,2,2,2,866386
126,3,3,2,692638
121,3,2,2,659012
75,2,1,1,369803
289,4,3,3,1417039
187,3,2,2,935473
210,5,4,4,1124373
152,2,2,2,747388
103,3,3,3,628344
60,1,1,0,265901
74,2,1,2,383193
283,5,4,4,1467720
188,2,1,1,845685
272,6,5,4,1446195
293,5,5,4,1475920
218,3,3,3,1062424
196,5,4,4,1075813
256,5,5,4,1349384
136,3,3,2,735601
108,2,1,1,526815
160,3,3,2,845694
177,4,3,3,944315
242,4,3,4,1240034
148,3,2,3,798987
238,5,5,4,1273541
259,5,5,4,1350542
83,1,1,1,418911
268,6,5,4,1414585
91,3,2,3,543456
207,4,4,4,1074833
82,1,1,0,414993
101,3,3,3,612488
120,2,1,2,607820
52,1,1,0,250584
65,2,1,2,363581
79,2,2,2,469335
136,3,2,2,736836
157,3,3,2,810832
299,4,3,4,1465319
292,5,4,4,1509278
172,2,1,2,820404
223,3,3,2,1074897
201,4,4,4,1071146
55,1,1,1,291185
153,4,3,3,813620
148,3,2,2,786458
252,5,4,4,1323955
210,5,5,4,1183737
270,4,4,3,1348930
67,1,1,1,334128
95,2,1,1,509139
272,4,3,4,1374454
85,3,3,3,513908
243,5,4,4,1263221
279,6,5,4,1501211
228,5,5,4,1257155
48,1,1,1,284213
268,6,5,4,1414636
300,5,4,4,1498163
295,5,4,4,1482429
100,3,2,3,559581
177,3,2,2,863336
149,3,2,2,757381
57,1,1,0,266268
115,1,1,1,544518
177,3,3,3,939505
292,4,4,4,1435639
282,6,5,4,1473844
206,5,4,4,1150654
95,3,3,3,571847
250,6,5,4,1344408
287,6,5,4,1531847
173,4,4,3,950440
225,4,3,4,1184696
116,3,3,3,688902
209,4,3,4,1085639
76,1,1,0,371081
294,5,5,4,1499400
186,3,2,2,920454
84,2,1,2,479153
132,3,2,3,731853
186,2,1,2,901655
290,5,5,4,1519416
266,5,4,4,1354831
89,2,1,1,439512
90,2,1,1,484791
55,1,1,0,296492
179,2,2,2,854288
210,4,4,4,1108348
113,2,2,1,582923
246,3,3,2,1180319
143,4,4,4,825304
277,5,5,4,1438092
147,4,3,3,807907
223,5,5,4,1239059
171,3,3,3,905735
173,2,2,1,819031
243,3,2,2,1182384
266,5,5,4,1401702
201,5,5,4,1127991
145,4,4,3,824286
230,3,3,3,1122533
267,6,5,4,1444658
47,1,1,0,250161
74,1,1,0,336112
277,5,4,4,1398539
232,3,2,3,1159319
225,5,4,4,1225445
183,4,3,3,939936
93,3,3,3,561340
156,3,2,3,783590
124,2,1,1,598917
110,2,1,1,533121
52,1,1,1,266970
205,4,3,4,1103587
126,1,1,1,591882
197,4,4,3,1046372
188,3,2,2,948932
171,3,2,3,845801
116,2,2,1,578010
148,2,1,1,705274
292,4,3,3,1439812
213,4,3,4,1109710
157,4,4,4,883888
176,4,4,3,954876
110,3,3,3,620761
217,4,4,3,1117280
284,4,3,4,1403426
264,4,4,3,1333817
156,3,3,2,814521
71,1,1,1,330058
95,2,2,1,511719
172,2,2,1,824369
214,4,4,4,1131808
141,3,2,2,742719
67,1,1,0,339531
101,2,2,2,549485
169,3,3,3,897575
89,2,1,1,478558
90,3,2,2,491201
245,4,3,3,1198252
186,3,2,3,923661
155,4,4,4,869448
152,3,3,2,783972
120,2,1,1,587368
121,2,2,2,641241
167,3,2,3,860732
69,2,2,2,382774
73,1,1,1,348889
65,1,1,0,344950
75,2,1,1,390420
262,6,5,4,1388991
251,5,5,4,1330620
129,2,2,1,628615
193,4,4,3,1012032
139,3,3,3,770300
256,5,4,4,1321643
255,5,5,4,1346509
205,5,4,4,1137564
79,1,1,1,385744
242,4,4,4,1239843
255,4,3,3,1286225
157,4,4,3,858349
247,4,4,3,1230185
49,1,1,0,240169
92,2,2,2,503854
233,4,4,3,1180663
